type	rank	popularity	fpid	kind	name
f	551	0.0391	0636920085416	olt	Scaling Agile: Becoming an Agile Enterprise
a	551	0.0391	0636920085416	olt	Andrew Stellman
f	552	0.0390	0636920124115	olt	Deep Learning for NLP
a	552	0.0390	0636920124115	olt	Jon Krohn
f	553	0.0390	9781119207498	book	The Official (ISC)2 Guide to the CCSP CBK
a	553	0.0390	9781119207498	book	Adam Gordon
f	554	0.0389	9781484202715	book	Practical Hive: A Guide to Hadoop's Data Warehouse System
a	554	0.0389	9781484202715	book	Andreas François Vermeulen
a	554	0.0389	9781484202715	book	Ankur Gupta
a	554	0.0389	9781484202715	book	David Kjerrumgaard
a	554	0.0389	9781484202715	book	Scott Shaw
f	555	0.0389	9780134655642	book	Node.js, MongoDB and Angular Web Development, 2nd Edition
a	555	0.0389	9780134655642	book	Brad Dayley
a	555	0.0389	9780134655642	book	Brendan Dayley
a	555	0.0389	9780134655642	book	Caleb Dayley
f	556	0.0388	0636920093022	olt	Red Hat RHCSA Exam Tips and Test-Taking Strategies
a	556	0.0388	0636920093022	olt	Sander van Vugt
f	557	0.0388	9781118757963	book	Ace the Programming Interview: 160 Questions and Answers for Success
a	557	0.0388	9781118757963	book	Edward Guiness
f	558	0.0388	9780134840635	video	Network Programmability Fundamentals
a	558	0.0388	9780134840635	video	Kevin Wallace
f	559	0.0388	9781617291012	book	Akka in Action
a	559	0.0388	9781617291012	book	Raymond Roestenburg Rob Bakker Rob Williams
f	560	0.0388	9781491937266	video	Gradle Fundamentals
a	560	0.0388	9781491937266	video	Ken Kousen
f	561	0.0387	9781118531648	book	JavaScript and JQuery: Interactive Front-End Web Development
a	561	0.0387	9781118531648	book	Jon Duckett
f	562	0.0387	9781118206911	book	HTML & CSS: Design and Build Websites
a	562	0.0387	9781118206911	book	Jon Duckett
f	563	0.0385	9781259587559	book	Practical Electronics for Inventors, 4th Edition
a	563	0.0385	9781259587559	book	Paul Scherz
a	563	0.0385	9781259587559	book	Simon Monk
f	564	0.0385	9780134664118	book	Adobe Photoshop CC Classroom in a Book (2017 release)
a	564	0.0385	9780134664118	book	Andrew Faulkner
a	564	0.0385	9780134664118	book	Conrad Chavez
f	565	0.0384	0636920124917	olt	SAFe 4.5 (Scaled Agile Framework) Foundations
a	565	0.0384	0636920124917	olt	Dean Leffingwell
f	566	0.0384	0636920074182	olt	Machine Learning with Spark ML Libraries
a	566	0.0384	0636920074182	olt	VARTIKA SINGH
f	567	0.0384	0636920072850	olt	Beginning RxJava
a	567	0.0384	0636920072850	olt	Tomasz Nurkiewicz
f	568	0.0384	9781491954317	book	Learning Perl, 7th Edition
a	568	0.0384	9781491954317	book	Randal L. Schwartz
a	568	0.0384	9781491954317	book	Tom Phoenix
a	568	0.0384	9781491954317	book	brian d foy
f	569	0.0381	9781491956328	book	Microservice Architecture
a	569	0.0381	9781491956328	book	Irakli Nadareishvili
a	569	0.0381	9781491956328	book	Matt McLarty
a	569	0.0381	9781491956328	book	Mike Amundsen
a	569	0.0381	9781491956328	book	Ronnie Mitra
f	570	0.0381	9781119290988	book	CCNA ICND2 Study Guide, 3rd Edition
a	570	0.0381	9781119290988	book	Todd Lammle
f	571	0.0381	9781491927090	book	C# 6.0 in a Nutshell, 6th Edition
a	571	0.0381	9781491927090	book	Ben Albahari
a	571	0.0381	9781491927090	book	Joseph Albahari
f	572	0.0380	9780134663524	video	Modern Java Collections
a	572	0.0380	9780134663524	video	Simon Roberts
f	573	0.0380	9781491941997	book	Introducing Go
a	573	0.0380	9781491941997	book	Caleb Doxsey
f	574	0.0379	9781787123618	video	Git Complete
a	574	0.0379	9781787123618	video	Jason Taylor
f	575	0.0379	9780132942799	book	Software Architecture in Practice, Third Edition
a	575	0.0379	9780132942799	book	Len Bass
a	575	0.0379	9780132942799	book	Paul Clements
a	575	0.0379	9780132942799	book	Rick Kazman
f	576	0.0379	9781259588716	book	CompTIA A+ Certification All-in-One Exam Guide, Ninth Edition (Exams 220-901 & 220-902), 9th Edition
a	576	0.0379	9781259588716	book	Mike Meyers
f	577	0.0378	9781119245513	book	Machine Learning For Dummies
a	577	0.0378	9781119245513	book	John Paul Mueller
a	577	0.0378	9781119245513	book	Luca Massaron
f	578	0.0378	9781484223079	book	Pro Angular, Second Edition
a	578	0.0378	9781484223079	book	Adam Freeman
f	579	0.0377	9781484200551	book	Python Algorithms: Mastering Basic Algorithms in the Python Language, Second Edition
a	579	0.0377	9781484200551	book	Magnus Lie Hetland
f	580	0.0376	9781449339029	book	Juniper SRX Series, 1st Edition
a	580	0.0376	9781449339029	book	Brad Woodberg
a	580	0.0376	9781449339029	book	Rob Cameron
f	581	0.0376	radar-summit130	conf	Bitcoin & the Blockchain
f	582	0.0376	9781491968703	video	Understanding Spring Integration
a	582	0.0376	9781491968703	video	Kevin Bowersox
f	583	0.0376	0636920091004	olt	Writing User Stories
a	583	0.0376	0636920091004	olt	Ryan Harper
f	584	0.0375	0636920118213	olt	Go Services
a	584	0.0375	0636920118213	olt	William Kennedy
f	585	0.0374	9781449332471	book	High Performance MySQL, 3rd Edition
a	585	0.0374	9781449332471	book	Baron Schwartz
a	585	0.0374	9781449332471	book	Peter Zaitsev
a	585	0.0374	9781449332471	book	Vadim Tkachenko
f	586	0.0374	0636920121978	olt	Reactive Programming with Java 8 Completable Futures
a	586	0.0374	0636920121978	olt	Douglas Schmidt
f	587	0.0374	9780134510644	video	Java Concurrency, 2/e
a	587	0.0374	9780134510644	video	Douglas Schmidt
f	588	0.0373	9781430247616	book	Coding Interviews: Questions, Analysis & Solutions
a	588	0.0373	9781430247616	book	Harry He
f	589	0.0373	9781118443965	book	Intermediate Accounting: IFRS Edition, 2nd Edition
a	589	0.0373	9781118443965	book	Donald E. Kieso
a	589	0.0373	9781118443965	book	Jerry J. Weygandt
a	589	0.0373	9781118443965	book	Terry D. Warfield
f	590	0.0373	9781940540252	book	V14 Certification:  Teradata SQL
a	590	0.0373	9781940540252	book	Leona Coffing
a	590	0.0373	9781940540252	book	Tom Coffing
f	591	0.0372	9781449340292	book	Scala Cookbook
a	591	0.0372	9781449340292	book	Alvin Alexander
f	592	0.0371	9780134426365	video	CompTIA Linux+ / LPIC-1
a	592	0.0371	9780134426365	video	Sander van Vugt
f	593	0.0371	9780134664330	video	CCENT ICND1 100-105
a	593	0.0371	9780134664330	video	Kevin Wallace
f	594	0.0370	0636920107835	olt	Enhanced security with machine learning
a	594	0.0370	0636920107835	olt	Charles Givre
f	595	0.0370	9780134679471	book	Cisco Firepower Threat Defense (FTD): Configuration and Troubleshooting Best Practices for the Next-Generation Firewall (NGFW), Next-Generation Intrusion Prevention System (NGIPS), and Advanced Malware Protection (AMP), 1st Edition
a	595	0.0370	9780134679471	book	Nazmul Rajib
f	596	0.0369	9780071836180	book	Mike Meyers' CompTIA Security+ Certification Guide (Exam SY0-401)
a	596	0.0369	9780071836180	book	Mike Meyers
f	597	0.0369	9781484200285	book	Beginning Python: From Novice to Professional, 3rd Edition
a	597	0.0369	9781484200285	book	Magnus Lie Hetland
f	598	0.0369	9781491944820	book	Programming WCF Services, 4th Edition
a	598	0.0369	9781491944820	book	Juval Lowy
a	598	0.0369	9781491944820	book	Michael Montgomery
f	599	0.0369	9780133382693	book	Even You Can Learn Statistics and Analytics: An Easy to Understand Guide to Statistics and Analytics, Third Edition
a	599	0.0369	9780133382693	book	David F. Stephan
a	599	0.0369	9780133382693	book	David M. Levine
f	600	0.0368	9780596526849	book	Head First SQL
a	600	0.0368	9780596526849	book	Lynn Beighley
f	601	0.0368	9781787129559	book	C# 7 and .NET Core: Modern Cross-Platform Development - Second Edition
a	601	0.0368	9781787129559	book	Mark J. Price
f	602	0.0367	9781788293174	video	AWS Certified Solutions Architect  - Associate Tutorial - Step 2
a	602	0.0367	9781788293174	video	Raluca Bolovan
f	603	0.0367	9781617292033	book	Getting MEAN with Mongo, Express, Angular, and Node
a	603	0.0367	9781617292033	book	Simon Holmes
f	604	0.0367	9780470542811	book	Introduction to Linear Regression Analysis, 5th Edition
a	604	0.0367	9780470542811	book	Douglas C. Montgomery
a	604	0.0367	9780470542811	book	Elizabeth A. Peck
a	604	0.0367	9780470542811	book	G. Geoffrey Vining
f	605	0.0366	9780134663715	book	Learning Node.js, Second Edition
a	605	0.0366	9780134663715	book	Marc Wandschneider
f	606	0.0365	9781788392723	video	Learning Path: Python: Effective Data Analysis Using Python
a	606	0.0365	9781788392723	video	Manasa Vk - Curator
f	607	0.0364	9781466560017	book	Game Engine Architecture, Second Edition, 2nd Edition
a	607	0.0364	9781466560017	book	Jason Gregory
f	608	0.0364	9780133149883	book	CCNP Routing and Switching ROUTE 300-101 Official Cert Guide, Video Enhanced Edition
a	608	0.0364	9780133149883	book	Kevin Wallace
f	609	0.0364	9781259583803	book	CISA Certified Information Systems Auditor All-in-One Exam Guide, Third Edition, 3rd Edition
a	609	0.0364	9781259583803	book	Peter Gregory
f	610	0.0364	9781787121690	book	Cracking the IT Architect Interview
a	610	0.0364	9781787121690	book	Sameer Paradkar
f	611	0.0364	9780134436555	book	Troubleshooting BGP: A Practical Guide to Understanding and Troubleshooting BGP
